"title"|"film_language"|"category"|"first_name"|"last_name"|"length"|"rating"|"rental_rate"|"replacement_cost"|"total_earning"
"Telegraph Voyage"|"English             "|"Music"|"Thora"|"Temple"|148|"PG"|4,99|20,99|215,75
"Telegraph Voyage"|"English             "|"Music"|"Vivien"|"Basinger"|148|"PG"|4,99|20,99|215,75
"Telegraph Voyage"|"English             "|"Music"|"Woody"|"Hoffman"|148|"PG"|4,99|20,99|215,75
"Telegraph Voyage"|"English             "|"Music"|"Gina"|"Degeneres"|148|"PG"|4,99|20,99|215,75
"Telegraph Voyage"|"English             "|"Music"|"Lucille"|"Dee"|148|"PG"|4,99|20,99|215,75
"Telegraph Voyage"|"English             "|"Music"|"Carmen"|"Hunt"|148|"PG"|4,99|20,99|215,75
"Telegraph Voyage"|"English             "|"Music"|"Michael"|"Bening"|148|"PG"|4,99|20,99|215,75
"Zorro Ark"|"English             "|"Comedy"|"Ian"|"Tandy"|50|"NC-17"|4,99|18,99|199,72
"Zorro Ark"|"English             "|"Comedy"|"Nick"|"Degeneres"|50|"NC-17"|4,99|18,99|199,72
"Zorro Ark"|"English             "|"Comedy"|"Lisa"|"Monroe"|50|"NC-17"|4,99|18,99|199,72
"Wife Turn"|"English             "|"Documentary"|"Cameron"|"Zellweger"|183|"NC-17"|4,99|27,99|198,73
"Wife Turn"|"English             "|"Documentary"|"Greta"|"Malden"|183|"NC-17"|4,99|27,99|198,73
"Wife Turn"|"English             "|"Documentary"|"Julia"|"Barrymore"|183|"NC-17"|4,99|27,99|198,73
"Wife Turn"|"English             "|"Documentary"|"Michael"|"Bolger"|183|"NC-17"|4,99|27,99|198,73
"Wife Turn"|"English             "|"Documentary"|"Woody"|"Hoffman"|183|"NC-17"|4,99|27,99|198,73
"Wife Turn"|"English             "|"Documentary"|"Gina"|"Degeneres"|183|"NC-17"|4,99|27,99|198,73
"Innocent Usual"|"English             "|"Foreign"|"James"|"Pitt"|178|"PG-13"|4,99|26,99|191,74
"Innocent Usual"|"English             "|"Foreign"|"Dan"|"Torn"|178|"PG-13"|4,99|26,99|191,74
"Innocent Usual"|"English             "|"Foreign"|"Christian"|"Akroyd"|178|"PG-13"|4,99|26,99|191,74
"Hustler Party"|"English             "|"Comedy"|"Christopher"|"West"|83|"NC-17"|4,99|22,99|190,78
"Hustler Party"|"English             "|"Comedy"|"Minnie"|"Kilmer"|83|"NC-17"|4,99|22,99|190,78
"Hustler Party"|"English             "|"Comedy"|"Angelina"|"Astaire"|83|"NC-17"|4,99|22,99|190,78
"Hustler Party"|"English             "|"Comedy"|"Alec"|"Wayne"|83|"NC-17"|4,99|22,99|190,78
"Saturday Lambs"|"English             "|"Sports"|"Gene"|"Mckellen"|150|"G"|4,99|28,99|190,74
"Saturday Lambs"|"English             "|"Sports"|"Burt"|"Posey"|150|"G"|4,99|28,99|190,74
"Saturday Lambs"|"English             "|"Sports"|"James"|"Pitt"|150|"G"|4,99|28,99|190,74
"Saturday Lambs"|"English             "|"Sports"|"Vivien"|"Bergen"|150|"G"|4,99|28,99|190,74
"Saturday Lambs"|"English             "|"Sports"|"Rip"|"Crawford"|150|"G"|4,99|28,99|190,74
"Saturday Lambs"|"English             "|"Sports"|"Penelope"|"Pinkett"|150|"G"|4,99|28,99|190,74
"Saturday Lambs"|"English             "|"Sports"|"Mena"|"Hopper"|150|"G"|4,99|28,99|190,74
"Saturday Lambs"|"English             "|"Sports"|"Greta"|"Keitel"|150|"G"|4,99|28,99|190,74
"Saturday Lambs"|"English             "|"Sports"|"Ben"|"Willis"|150|"G"|4,99|28,99|190,74
"Titans Jerk"|"English             "|"Sci-Fi"|"Woody"|"Jolie"|91|"PG"|4,99|11,99|186,73
"Titans Jerk"|"English             "|"Sci-Fi"|"Kirsten"|"Paltrow"|91|"PG"|4,99|11,99|186,73
"Titans Jerk"|"English             "|"Sci-Fi"|"Sidney"|"Crowe"|91|"PG"|4,99|11,99|186,73
"Titans Jerk"|"English             "|"Sci-Fi"|"Cameron"|"Wray"|91|"PG"|4,99|11,99|186,73
"Titans Jerk"|"English             "|"Sci-Fi"|"Dan"|"Harris"|91|"PG"|4,99|11,99|186,73
"Titans Jerk"|"English             "|"Sci-Fi"|"Greg"|"Chaplin"|91|"PG"|4,99|11,99|186,73
"Titans Jerk"|"English             "|"Sci-Fi"|"Kim"|"Allen"|91|"PG"|4,99|11,99|186,73
"Harry Idaho"|"English             "|"Drama"|"Matthew"|"Carrey"|121|"PG-13"|4,99|18,99|177,73
"Harry Idaho"|"English             "|"Drama"|"Morgan"|"Hopkins"|121|"PG-13"|4,99|18,99|177,73
"Harry Idaho"|"English             "|"Drama"|"Fay"|"Kilmer"|121|"PG-13"|4,99|18,99|177,73
"Harry Idaho"|"English             "|"Drama"|"Jayne"|"Silverstone"|121|"PG-13"|4,99|18,99|177,73
"Harry Idaho"|"English             "|"Drama"|"Cameron"|"Zellweger"|121|"PG-13"|4,99|18,99|177,73
"Harry Idaho"|"English             "|"Drama"|"Lucille"|"Dee"|121|"PG-13"|4,99|18,99|177,73
"Torque Bound"|"English             "|"Drama"|"Uma"|"Wood"|179|"G"|4,99|27,99|169,76
"Torque Bound"|"English             "|"Drama"|"Natalie"|"Hopkins"|179|"G"|4,99|27,99|169,76
"Torque Bound"|"English             "|"Drama"|"Kenneth"|"Hoffman"|179|"G"|4,99|27,99|169,76
"Torque Bound"|"English             "|"Drama"|"Gene"|"Hopkins"|179|"G"|4,99|27,99|169,76
"Torque Bound"|"English             "|"Drama"|"Adam"|"Hopper"|179|"G"|4,99|27,99|169,76
"Dogma Family"|"English             "|"Animation"|"Henry"|"Berry"|122|"G"|4,99|16,99|168,72
